Release date,Title,Genre,Runtime,Language,Type,Rating,Original Index
2017-06-16,CounterPunch,Documentary,0 days 01:31:00,English,Documentaries,6.7,68
2017-06-23,Nobody Speak: Trials of the Free Press,Documentary,0 days 01:35:00,English,Documentaries,6.5,69
2017-06-28,Okja,Action-adventure,0 days 02:01:00,English,Feature films,7.3,70
2017-07-14,Chasing Coral,Documentary,0 days 01:29:00,English,Documentaries,8.0,71
2017-07-14,To the Bone,Drama,0 days 01:47:00,English,Feature films,6.8,72
2017-07-28,The Incredible Jessica James,Romantic comedy,0 days 01:23:00,English,Feature films,6.5,73
2017-08-04,Icarus,Documentary,0 days 02:00:00,English,Documentaries,7.9,74
2017-08-11,Naked,Comedy,0 days 01:36:00,English,Feature films,5.4,75
2017-08-25,Death Note,Horror thriller,0 days 01:40:00,English,Feature films,4.5,76
2017-09-01,Little Evil,Comedy horror,0 days 01:34:00,English,Feature films,5.7,77
2017-09-01,Resurface,Documentary,0 days 00:27:00,English,Documentaries,6.9,78
2017-09-08,#realityhigh,Teen comedy,0 days 01:39:00,English,Feature films,,79
2017-09-12,Heroin(e),Documentary,0 days 00:39:00,English,Documentaries,6.8,80
2017-09-15,First They Killed My Father,Biographical drama,0 days 02:16:00,Khmer,Feature films,7.2,81
2017-09-15,Strong Island,Documentary,0 days 01:47:00,English,Documentaries,6.4,82
2017-09-22,Gaga: Five Foot Two,Documentary,0 days 01:40:00,English,Documentaries,7.0,83
2017-09-29,Gerald's Game,Horror thriller,0 days 01:43:00,English,Feature films,6.5,84
2017-09-29,Long Shot,Documentary,0 days 00:40:00,English,Documentaries,7.4,85
2017-09-29,Our Souls at Night,Romance,0 days 01:43:00,English,Feature films,6.9,86
2017-10-06,The Death and Life of Marsha P. Johnson,Documentary,0 days 01:45:00,English,Documentaries,7.2,87
2017-10-12,Bomb Scared,Black comedy,0 days 01:29:00,Spanish,Feature films,5.7,88
2017-10-13,Kingdom of Us,Documentary,0 days 01:49:00,English,Documentaries,6.9,89
2017-10-13,The Babysitter,Teen comedy horror,0 days 01:25:00,English,Feature films,6.4,90
2017-10-13,The Meyerowitz Stories (New and Selected),Comedy drama,0 days 01:52:00,English,Feature films,,91
2017-10-20,1922,Horror / Crime drama,0 days 01:42:00,English,Feature films,6.2,92
2017-10-20,One of Us,Documentary,0 days 01:35:00,English,Documentaries,6.8,93
2017-10-20,Wheelman,Action thriller,0 days 01:22:00,English,Feature films,6.4,94
2017-10-27,Joan Didion: The Center Will Not Hold,Documentary,0 days 01:38:00,English,Documentaries,7.5,95
2017-11-10,The Killer,Western,0 days 01:39:00,Portuguese,Feature films,6.0,96
2017-11-17,A Christmas Prince,Christmas romantic comedy,0 days 01:32:00,English,Feature films,5.8,97
2017-11-17,"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentary,0 days 01:34:00,English,Documentaries,,98
2017-11-21,Saving Capitalism,Documentary,0 days 01:13:00,English,Documentaries,6.8,99
2017-11-22,"Barbra: The Music, The Mem'ries, The Magic",Concert film,0 days 01:48:00,English,Specials,,100
2017-11-24,Cuba and the Cameraman,Documentary,0 days 01:54:00,English,Documentaries,8.2,101
2017-12-01,Voyeur,Documentary,0 days 01:35:00,English,Documentaries,6.1,102
2017-12-08,El Camino Christmas,Christmas dark comedy,0 days 01:29:00,English,Feature films,5.7,103
2017-12-15,Christmas Inheritance,Christmas romantic drama,0 days 01:44:00,English,Feature films,5.7,104
2017-12-22,Bright,Urban fantasy,0 days 01:57:00,English,Feature films,6.3,105
2018-01-12,The Polka King,Biographical comedy,0 days 01:34:00,English,Feature films,,106
2018-01-19,Step Sisters,Comedy,0 days 01:48:00,English,Feature films,5.5,107
2018-01-19,The Open House,Horror thriller,0 days 01:34:00,English,Feature films,3.3,108
2018-01-26,A Futile and Stupid Gesture,Biographical comedy,0 days 01:41:00,English,Feature films,6.7,109
2018-02-04,The Cloverfield Paradox,Science fiction horror,0 days 01:42:00,English,Feature films,5.5,110
2018-02-09,Seeing Allred,Documentary,0 days 01:35:00,English,Documentaries,7.3,111
2018-02-09,The Trader,Documentary,0 days 00:23:00,Georgian,Documentaries,6.7,112
2018-02-09,When We First Met,Romantic comedy,0 days 01:37:00,English,Feature films,6.4,113
2018-02-14,Love Per Square Foot,Romantic comedy,0 days 02:13:00,Hindi,Feature films,7.1,114
2018-02-16,Irreplaceable You,Romantic drama,0 days 01:36:00,English,Feature films,6.4,115
2018-02-23,Mute,Science fiction,0 days 02:06:00,English,Feature films,5.5,116
2018-03-08,Ladies First,Documentary,0 days 00:39:00,Hindi,Documentaries,,117
2018-03-09,The Outsider,Crime drama,0 days 02:00:00,English,Feature films,6.3,118
2018-03-16,Benji,Family,0 days 01:27:00,English,Feature films,6.3,119
2018-03-16,Take Your Pills,Documentary,0 days 01:27:00,English,Documentaries,6.3,120
2018-03-23,"Game Over, Man!",Action comedy,0 days 01:41:00,English,Feature films,5.4,121
2018-03-23,Paradox,Musical / Western / Fantasy,0 days 01:13:00,English,Feature films,4.3,122
2018-03-23,Roxanne Roxanne,Musical drama,0 days 01:40:00,English,Feature films,,123
2018-03-30,First Match,Sports-drama,0 days 01:42:00,English,Feature films,6.4,124
2018-03-30,Happy Anniversary,Romantic comedy,0 days 01:18:00,English,Feature films,5.7,125
2018-04-06,6 Balloons,Drama,0 days 01:15:00,English,Feature films,5.9,126
2018-04-06,Amateur,Sports-drama,0 days 01:36:00,English,Feature films,5.9,127
2018-04-06,"Ram Dass, Going Home",Documentary,0 days 00:31:00,English,Documentaries,,128
2018-04-13,Come Sunday,Biopic,0 days 01:45:00,English,Feature films,6.0,129
2018-04-13,I Am Not an Easy Man,Romantic comedy,0 days 01:38:00,French,Feature films,6.3,130
2018-04-20,Dude,Teen comedy-drama,0 days 01:37:00,English,Feature films,5.1,131
2018-04-20,Mercury 13,Documentary,0 days 01:19:00,English,Documentaries,7.0,132
2018-04-27,Candy Jar,Romantic comedy,0 days 01:32:00,English,Feature films,5.8,133
