Release date,Title,Genre,Runtime,Language,Type,Rating,Original Index
2019-10-23,Dancing with the Birds,Documentary,0 days 00:51:00,English,Documentaries,8.2,299
2019-10-25,Dolemite Is My Name,Biopic,0 days 01:58:00,English,Feature films,7.2,300
2019-10-25,It Takes a Lunatic,Documentary,0 days 02:06:00,English,Documentaries,6.6,301
2019-10-25,Rattlesnake,Horror,0 days 01:25:00,English,Feature films,4.7,302
2019-10-28,A 3 Minute Hug,Documentary,0 days 00:28:00,Spanish,Documentaries,6.5,303
2019-10-28,Little Miss Sumo,Documentary,0 days 00:19:00,Japanese,Shorts,,304
2019-10-29,The Road to El Camino: A Breaking Bad Movie,Making-of,0 days 00:13:00,English,Shorts,,305
2019-11-01,American Son,Drama,0 days 01:30:00,English,Feature films,5.9,306
2019-11-01,Drive,Action,0 days 01:59:00,Hindi,Feature films,3.9,307
2019-11-01,Fire in Paradise,Documentary,0 days 00:39:00,English,Documentaries,7.4,308
2019-11-01,Holiday in the Wild,Christmas adventure-romance,0 days 01:26:00,English,Feature films,6.2,309
2019-11-01,The King,Historical drama,0 days 02:20:00,English,Feature films,7.3,310
2019-11-08,Let It Snow,Christmas romantic comedy,0 days 01:33:00,English,Feature films,5.8,311
2019-11-15,Earthquake Bird,Thriller,0 days 01:46:00,English,Feature films,6.0,312
2019-11-15,House Arrest,Comedy,0 days 01:44:00,Hindi,Feature films,5.5,313
2019-11-15,Klaus,Animation / Christmas / Comedy / Adventure,0 days 01:38:00,English,Feature films,8.2,314
2019-11-20,"Bikram: Yogi, Guru, Predator",Documentary,0 days 01:26:00,English,Documentaries,6.7,315
2019-11-20,"Lorena, Light-Footed Woman",Documentary,0 days 00:28:00,Spanish,Documentaries,,316
2019-11-21,The Knight Before Christmas,Christmas romantic comedy,0 days 01:32:00,English,Feature films,5.6,317
2019-11-27,The Irishman,Crime drama,0 days 03:29:00,English,Feature films,7.8,318
2019-11-27,The Irishman: In Conversation,Aftershow / Interview,0 days 00:23:00,English,Specials,7.4,319
2019-11-28,Holiday Rush,Christmas-family,0 days 01:34:00,English,Feature films,5.0,320
2019-12-01,Dead Kids,Thriller,0 days 01:34:00,Filipino,Feature films,5.4,321
2019-12-03,Porta dos Fundos: The First Temptation of Christ[a],Comedy,0 days 00:46:00,Portuguese,Specials,,322
2019-12-05,A Christmas Prince: The Royal Baby,Christmas romantic comedy,0 days 01:25:00,English,Feature films,5.4,323
2019-12-06,Marriage Story,Drama,0 days 02:16:00,English,Feature films,7.9,324
2019-12-13,6 Underground,Action,0 days 02:08:00,English,Feature films,6.1,325
2019-12-19,After the Raid,Documentary,0 days 00:25:00,Spanish,Documentaries,4.7,326
2019-12-20,The Two Popes,Biographical drama,0 days 02:05:00,English,Feature films,7.6,327
2019-12-24,Como caído del cielo,Comedy,0 days 01:57:00,Spanish,Feature films,,328
2019-12-24,John Mulaney & the Sack Lunch Bunch,Variety show,0 days 01:10:00,English,Specials,7.3,329
2019-12-26,The App,Science fiction drama,0 days 01:19:00,Italian,Feature films,2.8,330
2019-12-27,El Pepe: A Supreme Life,Documentary,0 days 01:13:00,Spanish,Documentaries,,331
2020-01-01,Ghost Stories,Horror anthology,0 days 02:24:00,Hindi,Feature films,4.4,332
2020-01-17,A Fall from Grace,Thriller,0 days 02:00:00,English,Feature films,5.9,333
2020-01-20,What Did Jack Do?,Drama,0 days 00:17:00,English,Shorts,,334
2020-01-23,Airplane Mode,Comedy,0 days 01:36:00,Portuguese,Feature films,5.1,335
2020-01-31,Miss Americana,Documentary,0 days 01:25:00,English,Documentaries,7.4,336
2020-02-07,Horse Girl,Psychological drama,0 days 01:44:00,English,Feature films,6.0,337
2020-02-11,Road to Roma,Making-of,0 days 01:12:00,Spanish,Specials,7.7,338
2020-02-12,To All the Boys: P.S. I Still Love You,Teen romantic comedy,0 days 01:42:00,English,Feature films,6.1,339
2020-02-14,Isi & Ossi,Romantic comedy,0 days 01:53:00,German,Feature films,6.4,340
2020-02-21,The Last Thing He Wanted,Political thriller,0 days 01:55:00,English,Feature films,4.4,341
2020-02-21,Yeh Ballet,Drama,0 days 01:57:00,Hindi,Feature films,7.5,342
2020-02-28,All the Bright Places,Teen romance,0 days 01:48:00,English,Feature films,6.6,343
2020-03-06,Guilty,thriller drama,0 days 01:59:00,Hindi,Feature films,5.5,344
2020-03-06,Spenser Confidential,Action comedy,0 days 01:51:00,English,Feature films,6.2,345
2020-03-08,Sitara: Let Girls Dream,Animation,0 days 00:15:00,English,Shorts,,346
2020-03-13,Lost Girls,Crime drama,0 days 01:35:00,English,Feature films,6.2,347
2020-03-19,Altered Carbon: Resleeved,Anime/Science fiction,0 days 01:14:00,Japanese,Feature films,6.4,348
2020-03-20,A Life of Speed: The Juan Manuel Fangio Story,Documentary,0 days 01:32:00,Spanish,Documentaries,7.0,349
2020-03-20,Ultras,Sports,0 days 01:49:00,Italian,Feature films,6.2,350
2020-03-25,Crip Camp: A Disability Revolution,Documentary,0 days 01:48:00,English,Documentaries,,351
2020-03-25,The Occupant,Thriller,0 days 01:43:00,Spanish,Feature films,6.4,352
2020-03-27,Maska,Romantic comedy,0 days 01:51:00,Hindi,Feature films,5.9,353
2020-03-27,The Decline,Action thriller,0 days 01:23:00,French,Feature films,6.0,354
2020-03-27,Uncorked,Drama,0 days 01:44:00,English,Feature films,6.4,355
2020-04-02,Sol Levante,Anime,0 days 00:04:00,English,Shorts,4.8,356
2020-04-03,Coffee & Kareem,Action comedy,0 days 01:28:00,English,Feature films,5.2,357
2020-04-10,LA Originals,Documentary,0 days 01:32:00,English,Documentaries,7.2,358
2020-04-10,Love Wedding Repeat,Romantic comedy,0 days 01:40:00,English,Feature films,5.6,359
2020-04-10,The Main Event,Sports comedy,0 days 01:43:00,English,Feature films,4.8,360
2020-04-10,Tigertail,Drama,0 days 01:31:00,English,Feature films,6.6,361
2020-04-17,Earth and Blood,Action,0 days 01:20:00,French,Feature films,5.2,362
2020-04-17,Rising High,Satire drama,0 days 01:34:00,German,Feature films,6.0,363
2020-04-17,Sergio,Biopic,0 days 01:58:00,English,Feature films,6.2,364
2020-04-22,Circus of Books,Documentary,0 days 01:26:00,English,Documentaries,,365
2020-04-22,The Willoughbys,Animated comedy,0 days 01:32:00,English,Feature films,6.4,366
2020-04-23,Time to Hunt,Action thriller,0 days 02:15:00,Korean,Feature films,6.3,367
2020-04-24,Extraction,Action,0 days 01:57:00,English,Feature films,6.8,368
2020-04-29,A Secret Love,Documentary,0 days 01:22:00,English,Documentaries,7.8,369
2020-04-29,Murder to Mercy: The Cyntoia Brown Story,Documentary,0 days 01:37:00,English,Documentaries,6.4,370
2020-04-30,Dangerous Lies,Thriller,0 days 01:37:00,English,Feature films,5.4,371
2020-04-30,Rich in Love,Romantic comedy,0 days 01:45:00,Portuguese,Feature films,,372
2020-05-01,All Day and a Night,Drama,0 days 02:01:00,English,Feature films,6.0,373
2020-05-01,Mrs. Serial Killer,Crime,0 days 01:47:00,Hindi,Feature films,4.0,374
2020-05-01,The Half of It,Teen romance,0 days 01:45:00,English,Feature films,6.9,375
2020-05-06,Becoming,Documentary,0 days 01:29:00,English,Documentaries,6.6,376
2020-05-11,Have a Good Trip: Adventures in Psychedelics,Documentary,0 days 01:25:00,English,Documentaries,,377
2020-05-13,The Wrong Missy,Black comedy,0 days 01:30:00,English,Feature films,5.8,378
2020-05-20,Ben Platt: Live from Radio City Music Hall,Concert film,0 days 01:25:00,English,Specials,,379
2020-05-22,The Lovebirds,Romantic comedy,0 days 01:27:00,English,Feature films,6.1,380
2020-05-27,I'm No Longer Here,Drama,0 days 01:52:00,Spanish,Feature films,,381
2020-05-28,Intuition,Crime thriller,0 days 01:56:00,Spanish,Feature films,5.6,382
2020-06-03,Spelling the Dream,Documentary,0 days 01:23:00,English,Documentaries,,383
2020-06-05,Choked: Paisa Bolta Hai,Drama,0 days 01:54:00,Hindi,Feature films,,384
2020-06-05,The Last Days of American Crime,Heist thriller,0 days 02:29:00,English,Feature films,3.8,385
2020-06-12,Da 5 Bloods,War drama,0 days 02:35:00,English,Feature films,6.5,386
2020-06-18,A Whisker Away,Anime fantasy,0 days 01:45:00,Japanese,Feature films,6.7,387
2020-06-18,One Take,Documentary,0 days 01:25:00,Thai,Documentaries,5.9,388
2020-06-19,Disclosure: Trans Lives on Screen,Documentary,0 days 01:47:00,English,Documentaries,,389
2020-06-19,Feel the Beat,Family / Comedy drama,0 days 01:49:00,English,Feature films,6.3,390
2020-06-19,Lost Bullet,Action,0 days 01:33:00,French,Feature films,6.3,391
2020-06-19,One-Way to Tomorrow,Romantic drama,0 days 01:30:00,Turkish,Feature films,5.6,392
2020-06-24,Athlete A,Documentary,0 days 01:44:00,English,Documentaries,7.6,393
2020-06-24,Bulbbul,Horror,0 days 01:34:00,Hindi,Feature films,6.5,394
2020-06-24,Nobody Knows I'm Here,Drama,0 days 01:31:00,Spanish,Feature films,6.5,395
2020-06-26,Eurovision Song Contest: The Story of Fire Saga,Musical comedy,0 days 02:03:00,English,Feature films,6.5,396
2020-07-01,Under the Riccione Sun,Romantic teenage drama,0 days 01:42:00,Italian,Feature films,5.6,397
2020-07-03,Desperados,Romantic comedy,0 days 01:46:00,English,Feature films,5.2,398
2020-07-08,Mucho Mucho Amor: The Legend of Walter Mercado,Documentary,0 days 01:36:00,English,Documentaries,7.3,399
2020-07-10,The Claudia Kishi Club,Documentary,0 days 00:17:00,English,Shorts,6.9,400
2020-07-10,The Old Guard,Superhero,0 days 02:05:00,English,Feature films,6.7,401
2020-07-14,We Are One,Documentary,0 days 01:26:00,French,Documentaries,5.4,402
2020-07-15,The Players,Comedy,0 days 01:28:00,Italian,Feature films,4.8,403
2020-07-16,Fatal Affair,Psychological thriller,0 days 01:29:00,English,Feature films,4.6,404
2020-07-17,Father Soldier Son,Documentary,0 days 01:40:00,English,Documentaries,7.3,405
2020-07-24,Offering to the Storm,Crime thriller,0 days 02:19:00,Spanish,Feature films,6.2,406
2020-07-24,The Kissing Booth 2,Teen romantic comedy,0 days 02:12:00,English,Feature films,5.7,407
2020-07-29,The Speed Cubers,Documentary,0 days 00:40:00,English,Documentaries,7.4,408
2020-07-31,Raat Akeli Hai,Thriller,0 days 02:29:00,Hindi,Feature films,7.2,409
2020-07-31,Seriously Single,Comedy,0 days 01:47:00,English,Feature films,4.5,410
2020-08-05,Anelka: Misunderstood,Documentary,0 days 01:34:00,French,Documentaries,6.4,411
2020-08-07,Work It,Dance comedy,0 days 01:33:00,English,Feature films,6.1,412
2020-08-12,Gunjan Saxena: The Kargil Girl,Biographical drama,0 days 01:52:00,Hindi,Feature films,5.5,413
2020-08-14,Fearless,Animation / Superhero,0 days 01:31:00,English,Feature films,5.2,414
2020-08-14,Project Power,Superhero,0 days 01:53:00,English,Feature films,6.0,415
2020-08-17,Crazy Awesome Teachers,Comedy drama,0 days 01:41:00,Indonesian,Feature films,6.2,416
2020-08-20,John Was Trying to Contact Aliens,Documentary,0 days 00:16:00,English,Shorts,6.4,417
2020-08-20,The Crimes That Bind,Crime drama,0 days 01:39:00,Spanish,Feature films,6.7,418
2020-08-21,Class of '83,Crime / Drama,0 days 01:38:00,Hindi,Feature films,5.8,419
2020-08-21,Dark Forces,Thriller,0 days 01:21:00,Spanish,Feature films,2.8,420
2020-08-21,The Sleepover,Action comedy,0 days 01:43:00,English,Feature films,6.0,421
2020-08-26,Rising Phoenix,Documentary,0 days 01:46:00,English,Documentaries,8.1,422
2020-08-28,All Together Now,Drama,0 days 01:33:00,English,Feature films,6.5,423
2020-08-28,Unknown Origins,Thriller,0 days 01:36:00,Spanish,Feature films,6.1,424
2020-09-02,Freaks – You're One of Us,Supernatural drama,0 days 01:32:00,German,Feature films,,425
2020-09-03,"Love, Guaranteed",Romantic comedy,0 days 01:31:00,English,Feature films,5.6,426
2020-09-04,I'm Thinking of Ending Things,Psychological thriller,0 days 02:14:00,English,Feature films,6.5,427
2020-09-07,My Octopus Teacher,Documentary,0 days 01:25:00,English,Documentaries,8.1,428
2020-09-09,The Social Dilemma,Documentary,0 days 01:34:00,English,Documentaries,7.6,429
2020-09-10,The Babysitter: Killer Queen,Comedy / Horror,0 days 01:42:00,English,Feature films,5.8,430
2020-09-11,Dad Wanted,Family,0 days 01:43:00,Spanish,Feature films,5.8,431
2020-09-15,Hope Frozen: A Quest to Live Twice,Documentary,0 days 01:20:00,Thai,Documentaries,,432
2020-09-16,The Devil All The Time,Psychological thriller,0 days 02:18:00,English,Feature films,,433
2020-09-16,The Paramedic,Thriller,0 days 01:34:00,Spanish,Feature films,5.7,434
2020-09-17,GIMS: On the Record,Documentary,0 days 01:36:00,French,Documentaries,6.9,435
2020-09-18,Dolly Kitty Aur Woh Chamakte Sitare,Drama,0 days 02:00:00,Hindi,Feature films,,436
2020-09-18,Whipped,Romantic comedy,0 days 01:37:00,Indonesian,Feature films,4.1,437
2020-09-21,A Love Song for Latasha,Documentary,0 days 00:19:00,English,Shorts,,438
2020-09-30,American Murder: The Family Next Door,Documentary,0 days 01:22:00,English,Documentaries,7.2,439
2020-09-30,The Boys in the Band,Drama,0 days 02:02:00,English,Feature films,6.8,440
2020-09-30,The Boys in the Band: Something Personal,Aftershow / Interview,0 days 00:28:00,English,Specials,7.2,441
2020-10-01,All Because of You,Action comedy,0 days 01:41:00,Malay,Feature films,4.0,442
2020-10-02,Dick Johnson Is Dead,Documentary,0 days 01:30:00,English,Documentaries,7.4,443
2020-10-02,Serious Men,Comedy drama,0 days 01:54:00,Hindi,Feature films,6.8,444
2020-10-02,The Binding,Horror,0 days 01:33:00,Italian,Feature films,4.8,445
2020-10-02,Vampires vs. the Bronx,Horror comedy,0 days 01:25:00,English,Feature films,5.7,446
2020-10-02,You've Got This,Romantic comedy,0 days 01:51:00,Spanish,Feature films,5.9,447
2020-10-02,Òlòtūré,Crime drama,0 days 01:46:00,English,Feature films,,448
2020-10-04,David Attenborough: A Life on Our Planet,Documentary,0 days 01:23:00,English,Documentaries,8.9,449
2020-10-07,Hubie Halloween,Comedy,0 days 01:43:00,English,Feature films,5.2,450
2020-10-08,Bigflo & Oli: Hip Hop Frenzy,Documentary,0 days 01:40:00,French,Documentaries,6.7,451
2020-10-09,Ginny Weds Sunny,Romantic comedy,0 days 02:05:00,Hindi,Feature films,5.7,452
2020-10-09,The Forty-Year-Old Version,Comedy drama,0 days 02:04:00,English,Feature films,7.2,453
2020-10-14,Blackpink: Light Up the Sky,Documentary,0 days 01:19:00,Korean,Documentaries,7.3,454
2020-10-14,The Three Deaths of Marisela Escobedo,Documentary,0 days 01:49:00,Spanish,Documentaries,8.1,455
2020-10-15,A Babysitter's Guide to Monster Hunting,Comedy / Fantasy / Family,0 days 01:38:00,English,Feature films,5.4,456
2020-10-15,Love Like the Falling Rain,Teen romantic drama,0 days 01:26:00,Indonesian,Feature films,,457
2020-10-15,Rooting for Roona,Documentary,0 days 00:41:00,Bengali,Documentaries,7.0,458
2020-10-16,The Trial of the Chicago 7,Historical legal drama,0 days 02:10:00,English,Feature films,7.7,459
2020-10-21,Rebecca,Romantic thriller,0 days 02:03:00,English,Feature films,6.0,460
2020-10-22,Cadaver,Horror,0 days 01:26:00,Norwegian,Feature films,5.2,461
2020-10-23,Over the Moon,Animated musical fantasy,0 days 01:40:00,English,Feature films,6.3,462
2020-10-27,Guillermo Vilas: Settling the Score,Documentary,0 days 01:34:00,Spanish,Documentaries,,463
2020-10-27,Sarah Cooper: Everything's Fine,Variety show,0 days 00:49:00,English,Specials,5.5,464
2020-10-28,Holidate,Christmas romantic comedy,0 days 01:44:00,English,Feature films,6.1,465
2020-10-28,Nobody Sleeps in the Woods Tonight,Horror,0 days 01:43:00,Polish,Feature films,4.9,466
2020-10-28,Secrets of the Saqqara Tomb,Documentary,0 days 01:54:00,English,Documentaries,7.2,467
2020-10-30,His House,Thriller,0 days 01:33:00,English,Feature films,6.5,468
2020-10-30,Kaali Khuhi,Horror,0 days 01:30:00,Hindi,Feature films,3.7,469
2020-10-30,Rogue City,Crime,0 days 01:56:00,French,Feature films,6.1,470
2020-10-30,The Day of the Lord,Horror,0 days 01:33:00,Spanish,Feature films,,471
2020-11-03,I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuarón,Aftershow / Interview,0 days 00:14:00,English,Shorts,,472
2020-11-05,Operation Christmas Drop,Christmas romantic comedy,0 days 01:36:00,English,Feature films,5.9,473
2020-11-06,Citation,Drama,0 days 02:31:00,English,Feature films,6.1,474
2020-11-11,What We Wanted,Drama,0 days 01:33:00,German,Feature films,5.9,475
2020-11-12,Ludo,Anthology / Dark comedy,0 days 02:30:00,Hindi,Feature films,7.6,476
2020-11-13,Jingle Jangle: A Christmas Journey,Family / Christmas musical,0 days 01:59:00,English,Feature films,6.4,477
2020-11-13,The Life Ahead,Drama,0 days 01:35:00,Italian,Feature films,6.8,478
2020-11-19,The Princess Switch: Switched Again,Christmas romantic comedy,0 days 01:37:00,English,Feature films,5.4,479
2020-11-20,Alien Xmas,Stop motion,0 days 00:42:00,English,Specials,6.2,480
2020-11-20,If Anything Happens I Love You[a],Animation,0 days 00:12:00,English,Shorts,,481
2020-11-22,Christmas on the Square,Christmas musical,0 days 01:38:00,English,Feature films,5.2,482
2020-11-23,Shawn Mendes: In Wonder,Documentary,0 days 01:23:00,English,Documentaries,6.5,483
2020-11-24,Hillbilly Elegy,Drama,0 days 01:57:00,English,Feature films,6.7,484
2020-11-24,Notes for My Son,Drama,0 days 01:23:00,Spanish,Feature films,6.5,485
2020-11-25,Shawn Mendes: Live in Concert,Concert film,0 days 01:27:00,English,Specials,7.2,486
2020-11-25,The Christmas Chronicles: Part Two,Christmas comedy,0 days 01:55:00,English,Feature films,6.0,487
2020-11-27,Dance Dreams: Hot Chocolate Nutcracker,Documentary,0 days 01:20:00,English,Documentaries,7.1,488
2020-11-27,The Beast,Action thriller,0 days 01:39:00,Italian,Feature films,5.2,489
2020-11-27,The Call,Psychological thriller,0 days 01:52:00,Korean,Feature films,6.8,490
2020-11-30,Finding Agnes,Drama,0 days 01:45:00,Filipino,Feature films,5.0,491
2020-12-01,Angela's Christmas Wish,Animation,0 days 00:47:00,English,Specials,7.1,492
2020-12-03,Just Another Christmas,Christmas comedy,0 days 01:41:00,Portuguese,Feature films,6.7,493
2020-12-04,Christmas Crossfire,Christmas thriller,0 days 01:46:00,German,Feature films,4.8,494
2020-12-04,Leyla Everlasting,Comedy,0 days 01:52:00,Turkish,Feature films,3.7,495
2020-12-04,Mank,Biopic,0 days 02:12:00,English,Feature films,6.8,496
2020-12-07,The Claus Family,Christmas fantasy,0 days 01:37:00,Dutch,Feature films,5.6,497
2020-12-08,Emicida: AmarElo – It's All For Yesterday,Documentary,0 days 01:29:00,Portuguese,Documentaries,,498
2020-12-09,Rose Island,Comedy drama,0 days 01:58:00,Italian,Feature films,7.0,499
2020-12-11,Canvas,Animation,0 days 00:09:00,English,Shorts,6.4,500
2020-12-11,Giving Voice,Documentary,0 days 01:30:00,English,Documentaries,7.0,501
2020-12-11,The Prom,Musical,0 days 02:12:00,English,Feature films,5.9,502
2020-12-14,A California Christmas,Christmas romantic comedy,0 days 01:47:00,English,Feature films,5.8,503
2020-12-18,Ma Rainey's Black Bottom,Drama,0 days 01:34:00,English,Feature films,6.9,504
2020-12-18,Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,0 days 00:31:00,English,Specials,6.4,505
2020-12-21,"Ariana Grande: Excuse Me, I Love You",Concert film,0 days 01:37:00,English,Specials,6.4,506
2020-12-23,The Midnight Sky,Science fiction,0 days 01:58:00,English,Feature films,5.7,507
2020-12-24,AK vs AK,Black comedy thriller,0 days 01:49:00,Hindi,Feature films,6.9,508
2020-12-25,We Can Be Heroes,Superhero,0 days 01:40:00,English,Feature films,4.7,509
2020-12-27,Death to 2020,Comedy,0 days 01:10:00,English,Specials,6.8,510
2020-12-28,Cops and Robbers,Animation,0 days 00:07:00,English,Shorts,6.7,511
2021-01-01,The Minimalists: Less Is Now,Documentary,0 days 00:53:00,English,Documentaries,5.9,512
2021-01-01,What Happened to Mr. Cha?,Comedy,0 days 01:42:00,Korean,Feature films,4.4,513
2021-01-06,Tony Parker: The Final Shot,Documentary,0 days 01:38:00,French,Documentaries,6.7,514
2021-01-07,Pieces of a Woman,Drama,0 days 02:06:00,English,Feature films,,515
2021-01-08,Stuck Apart,Drama,0 days 01:36:00,Turkish,Feature films,6.0,516
2021-01-11,"Crack: Cocaine, Corruption & Conspiracy",Documentary,0 days 01:29:00,English,Documentaries,6.7,517
2021-01-14,The Heartbreak Club,Comedy drama,0 days 01:41:00,Indonesian,Feature films,6.2,518
2021-01-15,Double Dad,Comedy drama,0 days 01:45:00,Portuguese,Feature films,5.6,519
2021-01-15,Outside the Wire,Action / science fiction,0 days 01:55:00,English,Feature films,5.4,520
2021-01-15,Tribhanga – Tedhi Medhi Crazy,Drama,0 days 01:35:00,Hindi,Feature films,,521
2021-01-15,What Would Sophia Loren Do?,Documentary,0 days 00:32:00,English,Documentaries,6.6,522
2021-01-22,The White Tiger,Drama,0 days 02:05:00,English,Feature films,7.1,523
2021-01-28,June & Kopi,Drama,0 days 01:30:00,Indonesian,Feature films,,524
2021-01-29,Below Zero,Drama,0 days 01:46:00,Spanish,Feature films,6.2,525
2021-01-29,Finding ʻOhana,Family,0 days 02:03:00,English,Feature films,,526
2021-01-29,The Dig,Drama,0 days 01:52:00,English,Feature films,7.1,527
2021-02-05,Malcolm & Marie,Romantic drama,0 days 01:46:00,English,Feature films,6.6,528
2021-02-05,Space Sweepers,Science fiction,0 days 02:16:00,Korean,Feature films,6.5,529
2021-02-05,"Strip Down, Rise Up",Documentary,0 days 01:52:00,English,Documentaries,5.5,530
2021-02-05,The Last Paradiso,Romantic drama,0 days 01:47:00,Italian,Feature films,,531
2021-02-10,The Misadventures of Hedi and Cokeman,Comedy,0 days 01:39:00,French,Feature films,4.5,532
2021-02-11,Red Dot,Thriller,0 days 01:26:00,Swedish,Feature films,5.5,533
2021-02-11,Squared Love,Romantic comedy,0 days 01:42:00,Polish,Feature films,5.1,534
2021-02-12,To All the Boys: Always and Forever,Romantic comedy,0 days 01:55:00,English,Feature films,6.3,535
2021-02-13,To All the Boys: Always and Forever – The Afterparty,Aftershow,0 days 00:36:00,English,Specials,,536
2021-02-23,Pelé,Documentary,0 days 01:48:00,Portuguese,Documentaries,7.0,537
2021-02-25,Geez & Ann,Romantic drama,0 days 01:45:00,Indonesian,Feature films,5.1,538
2021-02-26,Crazy About Her,Romantic comedy,0 days 01:42:00,Spanish,Feature films,6.6,539
2021-02-26,The Girl on the Train,Thriller,0 days 02:00:00,Hindi,Feature films,4.0,540
2021-03-01,Biggie: I Got a Story to Tell,Documentary,0 days 01:37:00,English,Documentaries,6.8,541
2021-03-03,Moxie,Drama,0 days 01:51:00,English,Feature films,6.7,542
2021-03-05,Sentinelle,Action,0 days 01:20:00,French,Feature films,4.8,543
2021-03-12,Paper Lives,Drama,0 days 01:37:00,Turkish,Feature films,6.6,544
2021-03-12,Yes Day,Comedy,0 days 01:29:00,English,Feature films,5.7,545
2021-03-17,Operation Varsity Blues: The College Admissions Scandal,Documentary,0 days 01:39:00,English,Documentaries,,546
2021-03-18,Get the Goat,Comedy,0 days 01:38:00,Portuguese,Feature films,,547
2021-03-24,Seaspiracy,Documentary,0 days 01:29:00,English,Documentaries,8.1,548
2021-03-25,Caught by a Wave,Romantic teen drama,0 days 01:39:00,Italian,Feature films,5.8,549
2021-03-26,A Week Away,Christian musical,0 days 01:37:00,English,Feature films,5.8,550
2021-03-26,Bad Trip,Hidden-camera prank comedy,0 days 01:26:00,English,Feature films,6.5,551
2021-03-26,Pagglait,Comedy drama,0 days 01:54:00,Hindi,Feature films,6.9,552
2021-04-01,Tersanjung the Movie,Drama,0 days 01:54:00,Indonesian,Feature films,,553
2021-04-02,Concrete Cowboy,Drama,0 days 01:51:00,English,Feature films,,554
2021-04-02,Just Say Yes,Romantic comedy,0 days 01:37:00,Dutch,Feature films,4.5,555
2021-04-02,Madame Claude,Drama,0 days 01:52:00,French,Feature films,5.4,556
2021-04-07,Dolly Parton: A MusiCares Tribute,Documentary,0 days 00:55:00,English,Documentaries,6.6,557
2021-04-09,Have You Ever Seen Fireflies?,Comedy,0 days 01:54:00,Turkish,Feature films,6.2,558
2021-04-09,Night in Paradise,Drama,0 days 02:12:00,Korean,Feature films,,559
2021-04-09,Thunder Force,Superhero comedy,0 days 01:47:00,English,Feature films,4.6,560
2021-04-14,Prime Time,Thriller,0 days 01:32:00,Polish,Feature films,5.2,561
2021-04-14,Why Did You Kill Me?,Documentary,0 days 01:23:00,English,Documentaries,5.6,562
2021-04-15,Ride or Die,Psychological thriller drama,0 days 02:22:00,Japanese,Feature films,5.5,563
2021-04-16,Ajeeb Daastaans,Drama,0 days 02:22:00,Hindi,Feature films,6.7,564
2021-04-17,Chadwick Boseman: Portrait of an Artist[a],Documentary,0 days 00:21:00,English,Documentaries,,565
2021-04-22,Searching for Sheela,Documentary,0 days 00:58:00,English,Documentaries,4.3,566
2021-04-28,Get the Grift,Comedy,0 days 01:35:00,Portuguese,Feature films,5.4,567
2021-04-29,Things Heard & Seen,Horror,0 days 02:01:00,English,Feature films,5.3,568
2021-04-30,The Disciple,Drama,0 days 02:08:00,Marathi,Feature films,6.8,569
2021-05-07,Milestone,Drama,0 days 01:37:00,Hindi,Feature films,,570
2021-05-07,Monster,Drama,0 days 01:39:00,English,Feature films,,571
2021-05-12,Oxygen,Science fiction thriller,0 days 01:41:00,French,Feature films,6.5,572
2021-05-14,I Am All Girls,Thriller,0 days 01:47:00,English,Feature films,6.0,573
2021-05-14,The Woman in the Window,Psychological thriller,0 days 01:41:00,English,Feature films,5.7,574
2021-05-18,Sardar Ka Grandson,Comedy,0 days 02:19:00,Hindi,Feature films,4.3,575
2021-05-21,Army of the Dead,Zombie/heist,0 days 02:28:00,English,Feature films,5.8,576
2021-05-22,Creating an Army of the Dead,Making-of,0 days 00:28:00,English,Specials,6.5,577
2021-05-26,Baggio: The Divine Ponytail,Biopic,0 days 01:32:00,Italian,Feature films,6.1,578
2021-05-26,Ghost Lab,Horror,0 days 01:57:00,Thai,Feature films,5.2,579
2021-05-26,Nail Bomber: Manhunt,Documentary,0 days 01:12:00,English,Documentaries,6.3,580
2021-05-27,Blue Miracle,Drama,0 days 01:36:00,English,Feature films,6.6,581
2021-06-02,Carnaval,Comedy,0 days 01:35:00,Portuguese,Feature films,4.2,582
2021-06-03,Dancing Queens,Drama,0 days 01:51:00,Swedish,Feature films,6.1,583
2021-06-04,Breaking Boundaries: The Science of Our Planet,Documentary,0 days 01:13:00,English,Documentaries,7.7,584
2021-06-04,Sweet & Sour,Romantic drama,0 days 01:42:00,Korean,Feature films,6.6,585
2021-06-04,Trippin' with the Kandasamys,Comedy,0 days 01:33:00,English,Feature films,5.2,586
2021-06-04,Xtreme,Action,0 days 01:52:00,Spanish,Feature films,5.8,587
2021-06-05,Kitty Love: An Homage to Cats[a],Documentary,0 days 01:00:00,Dutch,Documentaries,,588
2021-06-09,Awake,Science fiction thriller,0 days 01:37:00,English,Feature films,4.9,589
2021-06-09,Tragic Jungle,Drama,0 days 01:36:00,Spanish,Feature films,,590
2021-06-11,Skater Girl,Coming-of-age sports drama,0 days 01:49:00,Hindi,Feature films,6.7,591
2021-06-17,Ali & Ratu Ratu Queens,Comedy drama,0 days 01:40:00,Indonesian,Feature films,,592
2021-06-18,Jagame Thandhiram,Action thriller,0 days 02:38:00,Tamil,Feature films,5.8,593
2021-06-23,Good on Paper,Comedy,0 days 01:34:00,English,Feature films,5.6,594
2021-06-23,Murder by the Coast,Documentary,0 days 01:28:00,Spanish,Documentaries,6.5,595
